"BehaviorSpace results (NetLogo 5.3)"
"war of attrition.nlogo"
"experiment"
"02/21/2016 20:25:59:501 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","V","x1","x2","dynamic?","[step]","[u] of player 0","[u] of player 1"
"656","50","7","56","false","0","-7","43"
"657","50","7","57","false","0","-7","43"
"658","50","7","58","false","0","-7","43"
"661","50","7","61","false","0","-7","43"
"660","50","7","60","false","0","-7","43"
"659","50","7","59","false","0","-7","43"
"662","50","7","62","false","0","-7","43"
"663","50","7","63","false","0","-7","43"
"620","50","7","20","false","0","-7","43"
"664","50","7","64","false","0","-7","43"
"665","50","7","65","false","0","-7","43"
"666","50","7","66","false","0","-7","43"
"667","50","7","67","false","0","-7","43"
"669","50","7","69","false","0","-7","43"
"668","50","7","68","false","0","-7","43"
"670","50","7","70","false","0","-7","43"
"672","50","7","72","false","0","-7","43"
"673","50","7","73","false","0","-7","43"
"674","50","7","74","false","0","-7","43"
"675","50","7","75","false","0","-7","43"
"676","50","7","76","false","0","-7","43"
"677","50","7","77","false","0","-7","43"
"671","50","7","71","false","0","-7","43"
"678","50","7","78","false","0","-7","43"
"679","50","7","79","false","0","-7","43"
"680","50","7","80","false","0","-7","43"
"681","50","7","81","false","0","-7","43"
"682","50","7","82","false","0","-7","43"
"683","50","7","83","false","0","-7","43"
"684","50","7","84","false","0","-7","43"
"686","50","7","86","false","0","-7","43"
"688","50","7","88","false","0","-7","43"
"687","50","7","87","false","0","-7","43"
"689","50","7","89","false","0","-7","43"
"690","50","7","90","false","0","-7","43"
"691","50","7","91","false","0","-7","43"
"685","50","7","85","false","0","-7","43"
